stem,long,translation,n
peters,petersen,petersen,63
polestar,polestar,global trials for polestar,63
reiserecht,reiserecht,european / german travel law (package travel law,63
romero,romero,romero,63
roskild,roskilde,roskilde,63
samsung,samsung,samsung,63
schlafstor,schlafstörung,difficulty sleeping,63
shiffrin,shiffrin,shiffrin,63
sondier,sondierung,feeding tube,63
tyson,tyson,mike tyson,63
unsigned,unsigned,unsigned 16,63
vandalismus,vandalismus,vandalism,63
vatikanstaat,vatikanstaat,vatican state,63
viertelstund,viertelstunde,quarter hourly,63
vorverkauf,vorverkauf,advance booking,63
wjfm,wjfm,wjfm,63
zusammenwirk,zusammenwirken,"interaction, n",63
ablief,ablief,"expired <ph id=""mtc_1"" equiv-text=""base64:e3tkyxl9fq==""/> days ago",62
amerikanerin,amerikanerin,i'm an american,62
andi,andi,andi,62
athletinn,athletinnen,athletes,62
ausgelotet,ausgelotet,you explore advantages and disadvantages,62
beitragsbemessungsgrenz,beitragsbemessungsgrenze,trend of income threshold,62
dialogu,dialogue,dialogue,62
ferb,ferber,ferber,62
feuerwehrmann,feuerwehrmann,x0d,62
fitnesstrain,fitnesstrainer,fitness instructor,62
fsdh,fsdh,fsdh,62
geback,gebäck,baked goods,62
gereizt,gereizt,irritated,62
germ,germ,germ,62
guerreiro,guerreiro,sofia guerreiro stücklin dr,62
gvodujpo,gvodujpo,gvodujpo,62
hauri,hauri,hauri,62
ifbef,ifbefs,ifbefs,62
ipsos,ipsos,ipsos,62
isidoro,isidoro,isidoro alonso,62
jungferninseln,jungferninseln,united states virgin islands,62
kafig,käfig,cage,62
kartenzahl,kartenzahlen,card numbers,62
klev,kleve,kleve,62
klimaprot,klimaprotest,climate protest,62
kohleausstieg,kohleausstieg,"a fossil fuel increases  until 2030, since coal is",62
managerin,managerin,manager,62
memming,memmingen,memmingen,62
mikkel,mikkel,mikkel,62
neuaufstell,neuaufstellung,realignment,62
onisiwo,onisiwo,onisiwo,62
opdi,opdi,opdi,62
osman,osman,osman bolat,62
plantbullar,plantbullar,plantbullar,62
promis,promis,celebrities,62
prozession,prozessionen,processions,62
riesenslalom,riesenslalom,giant slalom,62
thalhamm,thalhammer,renate thalhammer,62
tourt,tourt,tours,62
trondheim,trondheim,trondheim,62
verhuv,verhuven,avoid,62
warenhaus,warenhaus,department store,62
wissenschaftsjournalist,wissenschaftsjournalist,"1977 - 1985 communication coach, science journalist",62
wurgegriff,würgegriff,chokehold,62
zuweil,zuweil,at times,62
arnes,arnesen,arnese,61
ausgestand,ausgestanden,endured,61
aushangeschild,aushängeschild,figurehead,61
bassist,bassist,bassist,61
bastian,bastian,bastian,61
behielt,behielt,i kept it,61
bodrum,bodrum,bodrum,61
bunk,bunke,bunke,61
buzz,buzz,buzz,61
cerny,cerny,černý,61
dropping,dropping,dropping,61
durchimpf,durchimpfen,vaccinate,61
expa,expa,expa,61
ferran,ferran,ferran reverter,61
filip,filip,philip,61
finanzvorstand,finanzvorstand,chief financial officer,61
fitnessstudio,fitnessstudio,gym,61
gjon,gjon,gjon,61
greuth,greuther,greuther fürth scarf 'check,61
guaidó,guaidó,merkel: guaidó future partner of germany,61
jamtland,jämtland,jämtland,61
kolumnistin,kolumnistin,"amanda mull, columnist, the atlantic",61
kompatsch,kompatscher,compatible,61
liberum,liberum,liberum,61
manovriert,manövriert,maneuvered,61
maul,maul,maul,61
menk,menke,menke,61
migrationsdebatt,migrationsdebatte,migration debate,61
mott,mott,mott,61
musikschul,musikschule,music school,61
nabizadeh,nabizadeh,nabizadeh,61
nova,nova,nova,61
nutzfahrzeugherstell,nutzfahrzeughersteller,commercial vehicle manufacturer,61
ordnungsg,ordnungsgem,proper,61
pressekontakt,pressekontakt,press contact,61
punktgleich,punktgleich,yes even with the last,61
rechenzentr,rechenzentren,data centers,61
rechtsauss,rechtsaussen,far right,61
rossi,rossi,rossi,61
seeb,seeb,seeb,61
ssab,ssab,ssab,61
teilnehmerinn,teilnehmerinnen,female participants,61
totengrab,totengräber,grave digger,61
ungeimpft,ungeimpft,unvaccinated,61
verhandlungsbereit,verhandlungsbereit,always willing to negotiate,61
versorgungsunternehm,versorgungsunternehmen,utilities companies,61
wintersport,wintersport,winter sports,61
aktionarsportal,aktionärsportal,shareholder portal,60
aleksand,aleksander,aleksander ferk,60
ausleih,ausleihe,loans,60
bcmg,bcmg,bcmg,60
beidseit,beidseitig,both sides,60
bergthal,bergthaler,bergthaler,60
bienenstich,bienenstich,bee sting cake,60
bradic,bradic,bradic,60
constitution,constitution,constitution,60
dalic,dalic,dalic,60
diogo,diogo,diogo,60
einfordert,einfordert,demands,60
entertain,entertainer,entertainer,60
exportwirtschaft,exportwirtschaft,swiss exporters,60
ferienland,ferienland,holiday country,60
forscherin,forscherin,researcher,60
genehmigungsverfahr,genehmigungsverfahren,approval processes,60
gesundheitsrisiko,gesundheitsrisiko,health risk,60
grip,gripe,flu,60
hohenheim,hohenheim,hohenheim,60
huntington,huntington,huntington,60
inforadio,inforadio,inforadio,60
innocan,innocan,innocan,60
internation,internationen,national/international presence,60
jakub,jakub,jakub,60
klopft,klopft,knocking,60
kronig,kronig,christoph kronig,60
lukaku,lukaku,lukaku off,60
malaga,malaga,malaga,60
maxdom,maxdome,maxdome,60
maximis,maximise,handling concessionary rates to maximise footfall,60
nowrozi,nowrozi,nowrozi,60
pianist,pianist,pianist,60
pogacar,pogacar,pogacar,60
postiert,postiert,guards posted in front of and behind the gates,60
radek,radek,radek,60
remertz,remertz,remertz,60
rotstift,rotstift,"at kaufhof, the red pencil is called for",60
schnurt,schnürt,laces,60
schwestermark,schwestermarke,mobilbet is a clone of the sister brand comeon,60
stammspiel,stammspieler,regular player,60
stihl,stihl,stihl,60
sund,sünde,sin,60
synchronisiert,synchronisiert,synchronized,60
theiss,theiss,uta theiss,60
wjefp,wjefp,wjefp,60
xbox,xbox,xbox,60
zusicher,zusicherung,assurance,60
abgestieg,abgestiegen,team relegated,59
anderson,anderson,anderson,59
asylsyst,asylsystem,asylum system,59
badisch,badische,baden festive soup,59
blitz,blitz,lightning,59
buhmann,buhmann,bogeyman,59
contactos,contactos,contactos,59
corinna,corinna,corina,59
čssr,čssr,čssr,59
davonkam,davonkam,got away,59
denay,denayer,denayer,59
energiequell,energiequelle,energy source,59
ferienflug,ferienflug,vacation flight,59
fernweh,fernweh,translated,59
freisteh,freistehen,"4)<bx id=""1""/> <g id=""2"">should your shelving unit be free-standing?</g>",59
frick,frick,frick,59
hellas,hellas,dyc hellas,59
journalistinn,journalistinnen,journalists and media accounts,59
king,kings,kings,59
kunstlerinn,künstlerinnen,artists,59
kursverlust,kursverlust,exchange loss,59
lachend,lachend,laughing,59
literar,literarisch,literary event,59
marktzulass,marktzulassung,"<g id=""1"">- </g><g id=""2"">drug  development  /  market  authorization</g>",59
menschenunwurd,menschenunwürdig,inhumane,59
neumerkel,neumerkel,newerkel,59
neunkirch,neunkirchen,neunkirchen,59
nombr,nombre,name,59
orebro,orebro,orebro,59
pioli,pioli,pioli,59
pult,pult,console,59
qiag,qiagen,qiagen,59
rekordmark,rekordmarke,record mark,59
scheidet,scheidet,if,59
schlafzimm,schlafzimmer,bedroom,59
sdax,sdax,sdax,59
shipton,shipton,shipton,59
staut,staut,the troisdorf dam,59
supp,suppe,soup,59
uberdeut,überdeutlich,abundantly clear,59
unbeirrt,unbeirrt,undeterred,59
verhandlungsmarathon,verhandlungsmarathon,negotiation marathon,59
verhandlungsposition,verhandlungsposition,negotiating position,59
vestag,vestager,vestager,59
zaub,zauber,spells,59
zuhalt,zuhalten,running 'em down,59
abgesaugt,abgesaugt,sucked out of the stomach,58
abtreibungsgesetz,abtreibungsgesetz,only 13% would like to restrict the abortion law,58
andrusio,andrusio,andrusio,58
arbeitsparteitag,arbeitsparteitag,labor convention,58
åsbrink,åsbrink,åsbrink,58
ausgangsposition,ausgangsposition,starting position,58
aushilf,aushilfe,auxiliary,58
behordengenehm,behördengenehmigungen,government approvals,58
bestleist,bestleistung,best,58
coach,coachen,coach,58
czarek,czarek,czarek,58
debitkart,debitkarte,debit card,58
dorn,dorn,dorn,58
dressel,dressel,dressel,58
durchverhandelt,durchverhandelt,negotiated,58
efvutdimbo,efvutdimboe,efvutdimboe,58
fell,felle,skins,58
fleischballch,fleischbällchen,meat balls,58
frisur,frisur,hairstyle,58
gaming,gaming,gaming,58
garderob,garderobe,cloakroom,58
gesamtbetrag,gesamtbetrag,total,58
gravina,gravina,gravina,58
hengartn,hengartner,david hengartner,58
ibtiµ,ibtiµ,ibtiµ,58
knutson,knutson,knutson,58
konzernumsatz,konzernumsatz,total sales of the corporate group,58
krisenplan,krisenplan,contingency plan,58
lbmuvsb,lbmuvsb,lbmuvsb,58
less,lessen,read,58
matth,matthes,matthes,58
mitreis,mitreisen,travel along,58
mukiel,mukiele,mukiele,58
nichteuropa,nichteuropäer,non-european,58
peternel,peternel,peternel,58
rechtspartei,rechtspartei,right-wing party,58
saisonspiel,saisonspiel,season game,58
schiessstand,schießstand,shooting range,58
schutzvorgab,schutzvorgaben,it is essential that information is used according to the protection specifications,58
selmayr,selmayr,selmayr,58
sokolowski,sokolowski,sokolowski,58
sonderbar,sonderbar,sonderbar,58
spedition,spedition,freight forwarding company,58
stabhochspr,stabhochsprung,pole vaulter,58
strafverfolgungsbehord,strafverfolgungsbehörde,law enforcement agency,58
tmjef,tmjef,tmjef,58
unterhandl,unterhändler,as a negotiator,58
voranzukomm,voranzukommen,how does it feel not to move forward,58
wich,wich,wich,58
yacht,yacht,yacht,58
zweiteil,zweiteiler,two-pieces,58
abgewandert,abgewandert,migrated,57
abstamm,abstamme,descend,57
achterbahn,achterbahn,riding a,57
ausgespielt,ausgespielt,outplayed,57
badelt,badelt,bathes,57
boefsfo,boefsfo,boefsfo,57
branchenangab,branchenangaben,industry information,57
cela,cela,cela,57
croo,croo,croo,57
delikt,delikt,offence,57
dichterin,dichterin,poetess,57
dina,dina,dina,57
diplomatenkreis,diplomatenkreisen,diplomatic circles,57
duldung,duldung,toleration,57
einreiseverordn,einreiseverordnung,entry regulation,57
entwicklungszusammenarbeit,entwicklungszusammenarbeit,development cooperation,57
falt,falt,folding,57
forstamt,forstamt,forest office,57
funffach,fünffach,quintuple,57
geburtsurkund,geburtsurkunde,birth certificate,57
gent,gent,gent,57
grenzpolit,grenzpolitik,border policy,57
grundstruktur,grundstruktur,basic structure,57
hanagh,hanagh,hanagh,57
handbuch,handbuch,manual,57
herp,herpes,herpes,57
herzogenaurach,herzogenaurach,herzogenaurach,57
hobbyback,hobbybäcker,recommended for all hobby bakers,57
hochklass,hochklassig,high class,57
junior,junioren,boca juniors,57
klot,kloten,kloten,57
knorr,knorr,knorr,57
koeman,koeman,koeman,57
konjunkturprognos,konjunkturprognose,link to the full economic forecast,57
koronavilkku,koronavilkku,koronavilkku,57
lizzy,lizzy,lizzy,57
lloyd,lloyd,lloyd,57
masur,masur,masur,57
natascha,natascha,natacha,57
neuchâtel,neuchâtel,neuchâtel,57
neuhaus,neuhaus,neuhaus,57
quintett,quintett,quintet,57
regionalwahl,regionalwahlen,regional elections,57
rheinfeld,rheinfelden,rheinfelden,57
rhinovirus,rhinovirus,rhinovirus,57
rhodos,rhodos,rhodes,57
rundbrief,rundbrief,newsletters,57
scary,scary,david,57
sechzig,sechzig,sixty,57
strafstoss,strafstoß,penalty kick,57
telegraaf,telegraaf,telegraaf,57
teppich,teppich,carpet,57
tschernobyl,tschernobyl,chernobyl,57
usain,usain,usain bolt,57
xjse,xjse,xjse,57
zeitmess,zeitmesser,timepieces,57
adrienn,adrienne,adrienne,56
asylrecht,asylrecht,right of asylum,56
ballad,ballade,ballad,56
baumgartling,baumgartlinger,baumgartlinger,56
beijmo,beijmo,beijmo,56
bewi,bewies,he proved,56
boetius,boetius,boetius,56
channel,channel,channel,56
coronasituation,coronasituation,corona situation in switzerland,56
dragon,dragon,dragon,56
europameisterin,europameisterin,european swimming champion,56
euroshop,euroshop,euroshop news,56
externalitat,externalität,externality,56
finanzplatz,finanzplatz,financial pl,56
frederikshavn,frederikshavn,frederikshavn,56
fruhrent,frührente,early retirement,56
gigawatt,gigawatt,gw – gigawatt,56
hangeparti,hängepartie,stalemate puts upswing at stake,56
hauptrund,hauptrunde,multistage main,56
hjcu,hjcu,hjcu,56
iunm,iunm,iunm,56
jahn,jahn,dr. jahn,56
knight,knight,knight,56
konjunktursensibel,konjunktursensibel,economically sensitive,56
kudacki,kudacki,kudacki,56
kundin,kundin,customer,56
lenarcic,lenarcic,lenarcic,56
lichtenstein,lichtenstein,liechtenstein,56
lindenstrass,lindenstrasse,lindenstrasse 16,56
lopez,lopez,lopez,56
lundgr,lundgren,lundgren gallery,56
macdougall,macdougall,macdougall,56
milligan,milligan,miss milligan,56
neuling,neuling,newbie,56
optimum,optimum,optimum,56
paulk,paulke,paulke,56
rangordn,rangordnung,order of precedence,56
redetext,redetext,speech text (concept,56
reiserucktrittsversicher,reiserücktrittsversicherung,travel cancellation insurance,56
rentenhoh,rentenhöhe,the pension amount is,56
schraubt,schraubt,drives,56
sterbedat,sterbedaten,details of death,56
tabakkonzern,tabakkonzerne,tobacco companies,56
titelseit,titelseite,title page,56
torschuss,torschuss,shooting playset,56
traditionsturni,traditionsturnier,traditional tournament,56
verzwickt,verzwickte,a tricky situation,56
afrikas,afrikas,africa,55
alena,alena,alena,55
anklang,anklang,moderate appeal,55
antti,antti,antti,55
arbeiterkamm,arbeiterkammer,chamber of labor,55
ausdau,ausdauer,endurance,55
batshuayi,batshuayi,batshuayi,55
bekennt,bekennt,confesses,55
bokk,bokk,bokk,55
borsian,börsianer,stockbroker,55
dreierpack,dreierpack,agua fresca set 3 pz,55
eboo,eboo,"<g id=""1"">f </g><g id=""2"">fa eboo</g>",55
einbrach,einbrach,if you collapsed you drowned,55
einigungswerk,einigungswerks,unification works,55
einzelleist,einzelleistung,individual performance,55
einzuford,einzufordern,,55
endergebnis,endergebnis,final result,55
eugendorf,eugendorf,eugendorf,55
finanzapps,finanzapps,finance apps,55
frischluft,frischluft,fresh air,55
galaxy,galaxy,galaxy,55
gary,gary,gary moore,55
gesamtsieg,gesamtsieg,maillot jaune and deserved overall victory,55
gesundheitsvorsorg,gesundheitsvorsorge,preventative health care,55
gpup,gpup,gpup,55
grov,grove,grove,55
grundsatzred,grundsatzrede,keynote speech (2,55
helfrich,helfrich,philipp helfrich,55
illustration,illustrationen,illustrations,55
jufnqspqµ,jufnqspqµ,jufnqspqµ,55
klimaprotesttag,klimaprotesttag,climate protest day,55
laubblas,laubbläser,leaf blower,55
limnos,limnos,limnos island,55
linus,linus,linus,55
mattarella,mattarella,mattarella,55
nadin,nadine,nadine,55
ostblock,ostblock,eastern bloc,55
perdu,perdu,perdu,55
pflichtt,pflichttest,duty test,55
politikum,politikum,a political issue,55
privatjet,privatjet,private jet,55
problembewusstsein,problembewusstsein,problem awareness,55
pyrena,pyrenäen,pyrenees,55
recycling,recycling,recycling,55
reimon,reimon,reimon,55
richtwert,richtwert,guideline value,55
rohled,rohleder,rawhide,55
schwebstofffilt,schwebstofffilter,hepa filters,55
suica,suica,suica,55
tant,tant,aunt,55
uberlebensrat,überlebensrate,survival rate,55
viktoria,viktoria,viktoria,55
warmepump,wärmepumpe,heat pump,55
wiederhochfahr,wiederhochfahren,restart,55
zahlungsdienstleist,zahlungsdienstleister,payment service provider,55
zuzustimm,zuzustimmen,to agree,55
abraham,abraham,abraham,54
abwehrchef,abwehrchef,defense chief,54
aktionstag,aktionstag,action day,54
alternativvorschlag,alternativvorschlag,alternative proposal,54
anett,anett,anett,54
barock,barock,baroque,54
borri,börries,katharina börries,54
csse,csse,csse,54
dupiert,düpiert,duped,54
eigeninteress,eigeninteresse,self-interest,54
einkaufsmanagerindex,einkaufsmanagerindex,purchasing manager index: usa,54
elftal,elftal,eleventh valley,54
embl,emblem,emblem,54
estudios,estudios,prüfungen,54
fiala,fiala,petr fiala,54
flugpauschalreis,flugpauschalreise,package tour,54
frachtaufkomm,frachtaufkommen,freight volume,54
franca,franca,franca jacob,54
freul,freuler,ursula freuler,54
fussballerinn,fussballerinnen,soccer players,54
gatj,gätjen,steven gätjen talks ratings,54
gebuhrenfrei,gebührenfrei,royalty free,54
glob,glob,stop glob,54
hilversum,hilversum,hilversum,54
hurst,hurst,hurst,54
ibcf,ibcf,ibcf,54
individuo,individuo,individuo,54
jakarta,jakarta,jakarta,54
janša,janša,janša,54
kempf,kempf,kempf,54
kgaa,kgaa,kgaa,54
kokalou,kokalou,kokalou,54
komodi,komödie,comedy,54
komponiert,komponiert,composed,54
kraftstoff,kraftstoff,fuel,54
lebenswert,lebenswert,liveable,54
lipinski,lipinski,lipinski,54
mittelverwend,mittelverwendung,use of agents,54
mutlos,mutlos,despondant,54
nchen,nchen,guinea pig,54
octq,octq,octq,54
oldeslo,oldesloe,bad oldesloe,54
pokalsieg,pokalsieg,cup victory,54
potsch,pötsch,auer           a. pötsch,54
privatflugzeug,privatflugzeug,private plane,54
produzier,produzierende,manufacturing,54
regenerativ,regenerativ,regenerative,54
reisewell,reisewelle,travel wave,54
rottman,rottman,rottman,54
schuldentilg,schuldentilgung,debt settlement,54
seidenstrass,seidenstrasse,silk road,54
semenya,semenya,caster semenya,54
sepsis,sepsis,sepsis,54
sicherheitskontroll,sicherheitskontrolle,security control,54
skopj,skopje,skopje,54
slaterstev,slatersteven,slatersteven,54
sofi,sofie,sofie,54
speist,speist,or ‘conde separator,54
stef,stef,"<g id=""1"">[1]</g>stef",54
strach,strach,strach,54
strukturhilf,strukturhilfen,structural aids,54
sunt,sunt,sunt,54
swisscovid,swisscovid,swisscovid,54
symphoni,symphonie,symphony,54
tamp,tampere,tampere,54
tata,tata,tata,54
turnierdirektor,turnierdirektor,tournament director,54
uberwand,überwand,it overcame the negative,54
untergrenz,untergrenze,lower limit,54
verena,verena,verena,54
volksbank,volksbank,volksbank,54
volksgesundheitsbehord,volksgesundheitsbehörde,public health authority,54
vorwartskomm,vorwärtskommen,moving forward without fear,54
wettbewerbsrecht,wettbewerbsrecht,wettbewerbsrecht,54
windstromerzeug,windstromerzeugung,wind power generation,54
winterurlaub,winterurlaub,winter vacation,54
ziegl,ziegler,ziegler,54
zutat,zutaten,ingredients,54
zweibruck,zweibrücken,zweibrücken,54
abklingt,abklingt,subsides,53
aufzurutteln,aufzurütteln,to shake up,53
auseinanderlieg,auseinanderliegen,"hopefully, they should not all be too far apart",53
austeritat,austerität,austerity,53
bevolkerungsstruktur,bevölkerungsstruktur,population make-up,53
brutet,brütet,a mother duck breeds,53
camavinga,camavinga,camavinga,53
diskussionsbedarf,diskussionsbedarf,still need for discussion,53
doha,doha,doha,53
epidemiegesetz,epidemiegesetz,epidemic law,53
erbost,erbost,guest (angry,53
familienstruktur,familienstruktur,because of a change in family structure,53
fashionett,fashionette,fashionette,53
femm,femme,pour femme,53
fluchtlingshilfswerk,flüchtlingshilfswerk,refugee agency,53
ftse,ftse,ftse,53
fuhrerschein,führerschein,driver's license,53
funkverkehr,funkverkehr,ems radio communications,53
gastkommentar,gastkommentar,le commentaire de l'invité,53
geldanlag,geldanlage,financial investment,53
guthmannshaus,guthmannshausen,guthmannshausen,53
hardwar,hardware,hardware,53
hyundai,hyundai,hyundai,53
immanuel,immanuel,immanuel kant,53
insight,insights,insights,53
josek,josek,josek,53
jugendarbeit,jugendarbeit,youth work,53
kreiss,kreiss,heinz-otto kreiss,53
lauferinn,läuferinnen,runners,53
losbar,lösbar,resolvable,53
martha,martha,martha,53
mediathek,mediathek,media centre,53
mielk,mielke,matthias mielke,53
nachhall,nachhall,reverberation,53
nokia,nokia,nokia,53
nýttfo,nýttfo,nýttfo,53
oeting,oetinger,oetinger,53
orthopad,orthopäde,orthopedist,53
personalstark,personalstärke,the number of personnel per shift,53
prostitutionsverbot,prostitutionsverbot,prohibition of prostitution,53
radd,radde,radde,53
rathausplatz,rathausplatz,rathausplatz,53
rating,rating,rating,53
riksdag,riksdag,riksdag,53
roni,roni,roni,53
ruckruf,rückruf,recall,53
safet,safetest,safetest,53
salvinis,salvinis,salvini's approach is “dangerous” and “wrong,53
sexarbeiterinn,sexarbeiterinnen,strippers aren’t sex workers,53
storch,storch,stork,53
strassencafés,strassencafés,street cafes,53
stringenzindex,stringenzindex,stringency index,53
svensson,svensson,svensson,53
sylvia,sylvia,sylvia vogt,53
teamview,teamviewer,teamviewer,53
umzukehr,umzukehren,time to turn back,53
unterred,unterredung,conversation,53
veranstalterreis,veranstalterreise,tour operator,53
vermischt,vermischt,storage system,53
verordnungsander,verordnungsänderung,regulation change,53
wirtschaftsunion,wirtschaftsunion,economic and monetary union,53
wurttemberg,württemberg,württemberg,53
zara,zara,zara,53
aberg,aberg,aberg,52
allerberg,allerberger,allerberger,52
anzutreff,anzutreffen,to be found,52
ausbrem,ausbremst,how the corona crisis is slowing down the art market,52
bildungsexpert,bildungsexperte,educational expert,52
boer,boer,boer,52
bojan,bojan,bojan bela,52
btjef,btjef,btjef,52
cancelled,cancelled,cancelled,52
christens,christensen,christensen,52
coronastrategi,coronastrategi,coronastrategi,52
digitalumsatz,digitalumsätze,digital sales,52
dinamo,dinamo,dinamo,52
ditfurth,ditfurth,ditfurth,52
dries,dries,nations unies,52
einweih,einweihen,initiate the mentee into new situations,52
epdi,epdi,epdi,52
fiskalpolit,fiskalpolitik,fiscal policies,52
fratzsch,fratzscher,director: peter fratzscher,52
fredriksson,fredriksson,fredriksson,52
gedachtnisstatt,gedächtnisstätte,gottlieb daimler memorial,52
ginn,ginn,start,52
handelshemmnis,handelshemmnis,trade barrier,52
herstellerangab,herstellerangabe,manufacturer's information,52
homestudio,homestudio,homestudio,52
ikaria,ikaria,ikaria island,52
jana,jana,jana,52
kabinenluft,kabinenluft,cabin air freshness,52
klaas,klaas,klaas,52
larsson,larsson,larsson,52
lokin,lokin,lokin,52
luftdus,luftdüsen,air nozzles,52
luth,luth,luth,52
mainstreammedi,mainstreammedien,mainstream media,52
mitgliedsbeitrag,mitgliedsbeitrag,membership fee,52
mitgrunderin,mitgründerin,co-founder,52
mittelgriechenland,mittelgriechenland,central greece,52
molotow,molotow,molotov,52
musikwettbewerb,musikwettbewerb,music competition,52
neustrelitz,neustrelitz,neustrelitz,52
omark,omark,omark,52
piep,piepen,recurring beeping: hydraulic oil level low,52
plastikabfall,plastikabfall,paper trays save tonnes of plastic waste,52
polarst,polarstern,polaris,52
quantenspr,quantensprung,quantum leap,52
rebound,rebound,rebound subdued,52
rescu,rescue,rescue,52
sani,sanieren,renovation,52
sonnenbad,sonnenbad,sunbath,52
sormland,sörmland,sörmland,52
stahlspart,stahlsparte,steel division,52
storno,storno,cancellation,52
sudekum,südekum,my name is norman südekum,52
szalai,szalai,szalai,52
taliban,taliban,taliban,52
treppenhaus,treppenhaus,stairwell,52
unlog,unlogik,practical computer science and illogicality,52
unterschlag,unterschlagen,suppressed,52
verletzungsbedingt,verletzungsbedingt,due to injury,52
verzweifeln,verzweifeln,but don't lose heart,52
westgriechenland,westgriechenland,δυτική ελλάδα,52
wulff,wulff,beate wulff,52
abzuhol,abzuholen,to fetch,51
anfuhrerin,anführerin,leader,51
antibodi,antibodies,bio-rad antibodies,51
ballweg,ballweg,ball path,51
båstad,båstad,båstad,51
bausch,bausch,bausch,51
befesa,befesa,befesa,51
conley,conley,laurie conley,51
crystal,crystal,crystal,51
diaz,diaz,drew diaz,51
dpoufouµ,dpoufouµ,dpoufouµ,51
during,düring,düring,51
elektromotor,elektromotor,electric motor,51
engl,engl,engl,51
erstausgab,erstausgabe,document created,51
eruiert,eruiert,will be determined,51
franck,franck,franck,51
gerichtsunterlag,gerichtsunterlagen,pleadings abroad for service,51
gina,gina,gina,51
halsweh,halsweh,sore throat,51
hauptstrass,hauptstrasse,hauptstrasse 53,51
hochgeschwindigkeitskatamaran,hochgeschwindigkeitskatamaran,high speed catamaran,51
inception,inception,inception,51
instand,instand,maintenance,51
konsensmaschin,konsensmaschine,consensus machine,51
kreuzimmunitat,kreuzimmunität,cross immunity,51
kultband,kultband,cult band,51
lindemann,lindemann,jan lindemann,51
lunz,lunz,ökopellets lunz am see,51
mitgliedspartei,mitgliedsparteien,member parties,51
morata,morata,morata,51
nettoeinkomm,nettoeinkommen,net income,51
neubaut,neubauten,new buildings,51
nftdifef,nftdifef,nftdifef,51
olof,olof,olof,51
pawel,pawel,pawel,51
pininfarina,pininfarina,pininfarina,51
pinzgau,pinzgau,pinzgau,51
pizza,pizza,pizza,51
pragend,prägend,formative,51
preisverleih,preisverleihung,award ceremony,51
provokant,provokant,provocative,51
quarantanelist,quarantäneliste,quarantine list,51
renovi,renoviere,i'm renovating my flat,51
rikard,rikard,rikard kristensson,51
sandor,sandor,sandor kiss,51
schirdewan,schirdewan,schirdewan,51
schmiest,schmiester,schmiester,51
selbstbewusstsein,selbstbewusstsein,self-awareness,51
stinkend,stinkend,smelly too,51
thrill,thrill,thrill,51
turuc,türüc,door,51
unanstand,unanständig,naughty,51
ungeschlag,ungeschlagen,undefeated in four campaigns,51
verschlimmbesser,verschlimmbesserung,disimprovement,51
verschmelz,verschmelzen,merge,51
verwasser,verwässerung,dilution,51
vorbeding,vorbedingung,precondition,51
walis,waliser,welsh people,51
weihnachtsmann,weihnachtsmann,santa claus,51
wittert,wittert,smells,51
zerstreu,zerstreuen,dispel,51
zuruckuberweis,zurücküberweisen,transfer back,51
arnh,arnhem,arnhem,50
atlantico,atlantico,atlantico,50
aufzuhelf,aufzuhelfen,your energy succeeds to help people back up again,50
azzurra,azzurra,azzurra,50
barzahl,barzahlen,barzahlen,50
bierf,bierfest,attended a beer festival,50
bosel,bösel,evil,50
bundelt,bündelt,bundles the following competencies,50
burogebaud,bürogebäude,office building,50
bustocht,bustochter,bustdaughter,50
comas,comas,comas,50
dwight,dwight,dwight,50
exploration,explorationen,explorations,50
farag,farage,nigel farage,50
fassbend,fassbender,fassbender,50
futurist,futuristisch,futuristic,50
gekickt,gekickt,kicked,50
gesprachsbereitschaft,gesprächsbereitschaft,willingness to talk,50
giroud,giroud,giroud,50
hurra,hurra,hurrah,50
karas,karas,karas,50
kardashian,kardashian,kardashian,50
kommunikationsverhalt,kommunikationsverhalten,communication behaviour,50
kompromissformel,kompromissformel,compromise formula,50
kreislauferkrank,kreislauferkrankung,cardiovascular disease,50
krisenbekampf,krisenbekämpfung,fighting the crisis,50
krist,kristen,kristen,50
landergrupp,ländergruppe,country group,50
landeswahr,landeswährung,national currency,50
leitl,leitl,conductive,50
lotti,lottie,lottie,50
mosel,mosel,mosel,50
nordengland,nordengland,northern england,50
nordeuropas,nordeuropas,northern europe’s largest injection moulding machine,50
rabattsumm,rabattsumme,total discount,50
reformprozess,reformprozess,reform process,50
regionalliga,regionalliga,regional league,50
renti,rentier,reindeer,50
repertoir,repertoire,repertoire,50
roop,roop,roop,50
sammeltaxi,sammeltaxi,shared taxi information,50
scheel,scheel,enno scheel,50
siegerehr,siegerehrung,prize-giving ceremony,50
sportlerin,sportlerin,sports person female,50
sprachlos,sprachlos,speechless,50
symposium,symposium,symposium,50
tamara,tamara,tamara,50
thuram,thuram,lilian thuram,50
tiefrot,tiefrot,8x deep red,50
timmerman,timmermans,timmermans,50
tontrag,tonträger,recorded music,50
topmanag,topmanager,"lee lacocca, american top manager",50
transferfen,transferfenster,transfer window,50
ufbtf,ufbtfs,ufbtfs,50
unterlegt,unterlegt,under wear,50
unterteil,unterteilen,subdivide,50
vorschein,vorschein,show up,50
weltenbumml,weltenbummler,"globetrotter 5,80",50
zukunftsorientiert,zukunftsorientiert,future-oriented,50
zuruckgefall,zurückgefallen,dropped back,50
zuwart,zuwarten,cease entirely,50
agil,agil,agile,49
athena,athena,athena,49
